product_name,brand,price,discount,availability,category,subcategory,product_url,competitor,scraping_date
Aceite Especialista en Cuidado de la Piel x 60 ml,Bio-Oil,20511.67,Promo 50% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/aceite-especialista-en-cuidado-de-la-piel-x-60-ml.html,GPSFarma,2026-01-20
Bio-Oil Skincare Oil (Natural) 125ml,Bio-Oil,36743.74,Promo 50% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/bio-oil-skincare-oil-natural-125ml.html,GPSFarma,2026-01-20
Bagóvit Absorción 1 Minuto Emulsión x 350 ml,Bagóvit,21370.32,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/bagovit-a-efecto-seda-350-gr-emul.html,GPSFarma,2026-01-20
Bagóvit A Emulsión Nutritiva Humectante x 350 gr,Bagóvit,19819.51,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/emulsion-a-nutritiva-humectante-x-350-gr.html,GPSFarma,2026-01-20
Goicoechea Crema Corporal Detox 400 ml,Goicoechea,13700.0,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/goicoechea-detox-400-ml-cre.html,GPSFarma,2026-01-20
Loción Corporal Hidratante x 175 ml,Bio-Oil,21609.55,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/locion-corporal-hidratante-x-175-ml.html,GPSFarma,2026-01-20
Loción Corporal Hidratante x 250 ml,Bio-Oil,27701.2,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/locion-corporal-hidratante-x-250-ml.html,GPSFarma,2026-01-20
Emulsión Efecto Luminoso x 200 ml,Bagóvit,20360.0,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/emulsion-bagovit-a-efecto-luminoso-x-200-ml.html,GPSFarma,2026-01-20
Bio-Oil Skincare Oil (Natural) 25ml,Bio-Oil,12229.78,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/bio-oil-skincare-oil-natural-25ml.html,GPSFarma,2026-01-20
Bio-Oil Skincare Oil (Natural) 60ml,Bio-Oil,22942.97,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/bio-oil-skincare-oil-natural-60ml.html,GPSFarma,2026-01-20
Bronceado Progresivo Spray Continuo x 150 ml,Bagóvit,20206.5,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/bagovit-a-bronceador-progresivo-x-150-ml.html,GPSFarma,2026-01-20
Bagovit Solar sprzy transparente FPS50 x 200ml,Bagóvit,30369.74,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/bagovit-solar-sprzy-transparente-fps50-x-200ml.html,GPSFarma,2026-01-20
Goicoechea Crema Corporal Ultranutritiva x 400 ml,Goicoechea,14500.0,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-ultra-nutritiva.html,GPSFarma,2026-01-20
Goicoechea Crema Corporal Anti-celulitis x 400 ml,Goicoechea,14500.0,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-anti-celulitis.html,GPSFarma,2026-01-20
Goicoechea Piel Sensible NF con mph Crema x 400 ml,Goicoechea,14500.0,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/piel-sensible400-mlgoicoechea.html,GPSFarma,2026-01-20
Goicoechea Crema Corporal Reafirmante Tonifyer x 400 ml,Goicoechea,14500.0,Promo 40% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-reafirmante.html,GPSFarma,2026-01-20
Crema Corporal St. Ives Humectación Diaria 532 ml,St. Ives,11520.58,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-corporal-humectacion-diaria-2.html,GPSFarma,2026-01-20
Crema Corporal St. Ives Piel Renovada 532 ML,St. Ives,11520.2,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-corporal-piel-renovada-3.html,GPSFarma,2026-01-20
Sérum Corporal Dove Pantenol x 400 ml,Dove,20121.92,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-pantenol-x-400-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Hialurónico x 400 ml,Dove,20112.26,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-hialuronico-x-400-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Pro-Ceramidas x 400 ml,Dove,20112.26,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-pro-ceramidas-x-400-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Niacinamida x 400 ml,Dove,20121.92,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-niacinamida-x-400-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Pro-Retinol x 400 ml,Dove,20121.92,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-pro-retinol-x-400-ml.html,GPSFarma,2026-01-20
Bálsamo Concentrado Dove Talones Agrietados x 90 g,Dove,14312.12,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/balsamo-concentrado-dove-talones-agrietados-x-90-g.html,GPSFarma,2026-01-20
Sérum Concentrado Dove Corporal x 100 ml,Dove,14311.57,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-concentrado-dove-corporal-x-100-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Hialurónico x 200 ml,Dove,12067.34,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-hialuronico-x-200-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Pro-Ceramidas x 200 ml,Dove,12067.34,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-pro-ceramidas-x-200-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Pro-Retinol x 200 ml,Dove,12073.16,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-pro-retinol-x-200-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Niacinamida x 200 ml,Dove,12073.16,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-niacinamida-x-200-ml.html,GPSFarma,2026-01-20
Sérum Corporal Dove Pantenol x 200 ml,Dove,12073.16,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/serum-corporal-dove-pantenol-x-200-ml.html,GPSFarma,2026-01-20
Óleo Sérum Corporal  DOVE  Tono Uniforme x 150 ml,Dove,23638.94,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/oleo-serum-corporal-dove-tono-uniforme-x-150-ml.html,GPSFarma,2026-01-20
Óleo Sérum Corporal DOVE Hidratante x 150 ml,Dove,23638.94,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/oleo-serum-corporal-dove-hidratante-x-150-ml.html,GPSFarma,2026-01-20
Óleo Sérum Corporal DOVE Reafirmante x 150 ml,Dove,23638.94,Promo 35% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/oleo-serum-corporal-dove-reafirmante-x-150-ml.html,GPSFarma,2026-01-20
Crema Gel Ultra Hidratación Corporal x 300 gr,Dermaglós,23795.53,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-gel-ultra-hidratacion-corporal-x-300-gr.html,GPSFarma,2026-01-20
Crema de Manos y Uñas Hidratación + Ácido Hialurónico x 50 gr,Dermaglós,13134.93,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/crema-de-manos-y-u-as-hidratacion-acido-hialuronico-x-50-gr.html,GPSFarma,2026-01-20
Dermaglós Corporal Hidratación Inmediata,Dermaglós,17870.22,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/dermaglos-corporal-hidratacion-inmediata.html,GPSFarma,2026-01-20
Emulsion Corporal Dermaglós Regeneracion Intensiva 300ml,Dermaglós,23795.7,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/dermaglos-c-regen-intensiva-x-300-ml-emu.html,GPSFarma,2026-01-20
Emulsión Corporal Hidratante x 300 ml,Dermaglós,19937.74,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/corporal-hidratacion300-mldermaglos.html,GPSFarma,2026-01-20
Emulsion Corporal Dermaglos Hidratante x 300 ml,Dermaglós,23795.7,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/dermaglos-c-hid-inmediata-300-gr-crema.html,GPSFarma,2026-01-20
Emulsión Hidratación Inmediata Spray continuo x 175ml,Dermaglós,18386.03,Promo 30% Off,In stock,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales.html,corporales,https://gpsfarma.com/categorias/cuidado-de-la-piel/corporales/emulsion-hidratacion-inmediata-spray-continuo-x-175ml.html,GPSFarma,2026-01-20
