product_name,brand,price,discount,availability,category,subcategory,product_url,competitor,scraping_date
Limpiador Corporal Cetaphil Pro Ad Control x 295 ml,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/limpiador-corporal-restoraderm-x-295-ml/p,Farmacity,2026-01-20
Limpiador Corporal Cetaphil Pro Ad Control x 295 ml,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/limpiador-corporal-restoraderm-x-295-ml/p,Farmacity,2026-01-20
Hidratante Corporal Cetaphil PRO AD Control x 295 ml,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/hidratante-corporal-cetaphil-pro-ad-control-x-295-ml/p,Farmacity,2026-01-20
Kit Aveno Limpieza + Protector Solar Corporal Fps 50,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/kit-aveno-limpieza-protector-solar-corporal-fps-50/p,Farmacity,2026-01-20
Kit Aveno Hidratación + Protección Corporal Emulsión x 250 ml,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/combo-aveno-emulsion-hidratante-x-250-ml-proteccion-solar-corporal-fps-50-x-175-ml/p,Farmacity,2026-01-20
Kit Aveno Hidratación + Protección Corporal Emulsión x 400 ml,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/kit-aveno-hidratacion-proteccion-corporal-emulsion-x-400-ml/p,Farmacity,2026-01-20
Crema en Gel Corporal Eucerin pH5 Light x 200 ml,,,,In stock,dermocosmetica,corporal,https://www.farmalife.com.ar/crema-gel-corporal-light-eucerin-ph5-piel-seca-y-sensible-x-200-ml/p,Farmacity,2026-01-20
Crema Caviahue Emoliente Ps x 175 g,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/crema-caviahue-emoliente-ps-x-175-g/p,Farmacity,2026-01-20
Crema Caviahue Emoliente Ps x 175 g,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/crema-caviahue-emoliente-ps-x-175-g/p,Farmacity,2026-01-20
Agua Micelar Caviahue x 400 ml,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/agua-micelar-caviahue-x-400-ml/p,Farmacity,2026-01-20
Polvo Desmaquillante Get The Look Lumiglow x 50 ml,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/polvo-desmaquillante-get-the-look-lumiglow-x-50-ml/p,Farmacity,2026-01-20
Combo Espuma Facial Cetaphil Limpieza Suave x 236 ml x 2 un,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/combo-espuma-facial-cetaphil-limpieza-suave-x-236-ml-x-2-un/p,Farmacity,2026-01-20
Crema Hidratante La Roche-Posay Anthelios UVmune x 50 ml,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/crema-hidratante-la-roche-posay-anthelios-uvmune-400-spf-50-sin-fragancia-x-50-ml/p,Farmacity,2026-01-20
Combo Eucerin Hyaluron Filler Hydrating Booster + Mascarilla Intensiva,,,,In stock,dermocosmetica,rostro,https://www.farmalife.com.ar/combo-eucerin-hyaluron-filler-hydrating-booster-x-30-ml-hyaluron-filler-mascarilla-intensiva-x-1-un/p,Farmacity,2026-01-20
Protector Solar Cetaphil Sun Oil Control FPS 50 + Con Color x 50 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/protector-solar-cetaphil-fps-50-sun-oil-gel-ligero-con-color-x-50-ml-1/p,Farmacity,2026-01-20
Protector Solar Cetaphil Sun Oil Control FPS 50 + Con Color x 50 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/protector-solar-cetaphil-fps-50-sun-oil-gel-ligero-con-color-x-50-ml-1/p,Farmacity,2026-01-20
Protector Solar Cetaphil Sun Ultra Matte & Oli Control FPS 50+ Sin Color x 50 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/protector-solar-cetaphil-sun-oil-control-fps-50-x-50-ml/p,Farmacity,2026-01-20
Combo Cetaphil Protector Solar Sun en Gel Fps 50+ x 100 ml + Protector Solar Sun Ultra Matte & Oli Control FPS 50+ sin Color x 50 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/combo-cetaphil-protector-solar-sun-en-gel-fps-50-x-100-ml-protector-solar-sun-ultra-matte-oli-control-fps-50-sin-color-x-50-ml/p,Farmacity,2026-01-20
Protector Solar Cetaphil Sun Kids Loción Fps 50 x 150 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/protector-solar-cetaphil-sun-kids-locion-fps-50-x-150-ml/p,Farmacity,2026-01-20
Protector Solar Cetaphil Sun en Gel Fps 50+ x 100 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/protector-solar-cetaphil-sun-en-gel-fps-50-x-100-ml/p,Farmacity,2026-01-20
Pack x 2 Cetaphil SUN Protector Solar sin Color x 50 ml,,,,In stock,dermocosmetica,solar,https://www.farmalife.com.ar/cetaphil-protector-solar-sun-ultra-matte-oli-control-fps-50-sin-color-x-50-ml-x-2-un/p,Farmacity,2026-01-20
Pasta Dental Oral B 3D White Glamorous x 90 g,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/crema-dental-oral-b-3d-white-glamorous-x-90-g/p,Farmacity,2026-01-20
Pasta Dental Oral B 3D White Glamorous x 90 g,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/crema-dental-oral-b-3d-white-glamorous-x-90-g/p,Farmacity,2026-01-20
Pasta Dental Oral B 3D White Mineral Clean x 102 g,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/pasta-dental-oral-b-3d-white-mineral-clean-x-102-g/p,Farmacity,2026-01-20
Cepillos Dentales Oral-B Kids Mickey x 2 un,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/pack-cepillo-dental-oral-b-kids-mickey-x-2-un/p,Farmacity,2026-01-20
Combo Colgate Pasta Dental Total Whitening + Enjuague Bucal + Cepillo Dental,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/combo-colgate-pasta-dental-cepillo-de-dientes-enjuague-bucal/p,Farmacity,2026-01-20
Combo Colgate Enjuague Bucal Plax Minions x 250 ml + Cepillo de Dientes Smiles 6+ Minions x 2 un + Pasta Dental Smiles Minions 6+ x 75 ml,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/combo-colgate-enjuague-bucal-plax-minions-x-250-ml-cepillo-smiles-6-minions-x-2-un--pasta-dental-smiles-minions-6-x-75-ml/p,Farmacity,2026-01-20
Hilo Dental con Mango Farmacity Cinta Carbón x 36 un,,,,In stock,cuidado-personal,cuidado-oral,https://www.farmalife.com.ar/flossers-farmacity-cinta-carbon-con-mango-x-36-un/p,Farmacity,2026-01-20
Shampoo Vichy Dercos Anti-Caspa para Cuero Cabelludo Sensible x 200 ml,,,,In stock,dermocosmetica,pelo,https://www.farmalife.com.ar/shampoo-anticaspa-para-el-cuero-cabelludo-sensible-dercos-x-200-ml/p,Farmacity,2026-01-20
Shampoo Vichy Dercos Anti-Caspa para Cuero Cabelludo Sensible x 200 ml,,,,In stock,dermocosmetica,pelo,https://www.farmalife.com.ar/shampoo-anticaspa-para-el-cuero-cabelludo-sensible-dercos-x-200-ml/p,Farmacity,2026-01-20
Shampoo Vichy Dercos Anti-Caspa Cabello Normal a Graso x 200 ml,,,,In stock,dermocosmetica,pelo,https://www.farmalife.com.ar/shampoo-anticaspa-para-cabello-normal-a-graso-dercos-x-200-ml/p,Farmacity,2026-01-20
Shampoo Vichy Dercos Energy Anti-Caída x 200 ml,,,,In stock,dermocosmetica,pelo,https://www.farmalife.com.ar/shampoo-dercos-energizante-anticaida-x-200-ml/p,Farmacity,2026-01-20
Shampoo Gel Anti-Caspa Eucerin DermoCapillaire para Dermatitis Seborreica x 250 ml,,,,In stock,dermocosmetica,pelo,https://www.farmalife.com.ar/shampoo-anticaspa-dermo-capillaire-x-250/p,Farmacity,2026-01-20
Suplemento Dietario Isdin Lambdapil Hairdensity x 60 Cáps,,,,In stock,dermocosmetica,pelo,https://www.farmalife.com.ar/suplemento-dietario-isdin-lambdapil-hairdensity-x-60-cap/p,Farmacity,2026-01-20
